orderid,Customer Name,shipmode,sales,quantity,discount,profit,segment,region,state,subcategory,category,preparationtime,orderdate,shipdate
2379,Ivan Liston,First Class,99.28,2,0.2,12.41,Corporate,East,Pennsylvania,Appliances                                        ,Office Supplies,3,2016-04-24,2016-04-27
2380,Roy Phan,Standard Class,167.535,3,0.1,37.23,Home Office,Central,Michigan,Appliances                                        ,Office Supplies,4,2013-08-08,2013-08-12
2381,Dorris Love,Standard Class,186.15,3,0.0,55.845,Corporate,West,California,Appliances                                        ,Office Supplies,7,2014-09-28,2014-10-05
2383,Dorothy Badders,Standard Class,533.94,3,0.0,154.8426,Consumer,East,New York,Appliances                                        ,Office Supplies,4,2013-11-01,2013-11-05
2384,Muhammed MacIntyre,First Class,569.536,4,0.2,64.0728,Consumer,South,North Carolina,Appliances                                        ,Office Supplies,3,2015-08-10,2015-08-13
2386,Shui Tom,Standard Class,355.96,2,0.0,103.2284,Home Office,East,Maryland,Appliances                                        ,Office Supplies,4,2014-12-27,2014-12-31
2388,Nancy Lomonaco,First Class,942.784,4,0.2,94.2784,Corporate,South,North Carolina,Appliances                                        ,Office Supplies,3,2016-09-14,2016-09-17
2392,Laurel Elliston,First Class,97.84,2,0.0,25.4384,Consumer,West,California,Appliances                                        ,Office Supplies,3,2016-09-29,2016-10-02
2394,Cynthia Arntzen,Second Class,293.52,6,0.0,76.3152,Consumer,East,New York,Appliances                                        ,Office Supplies,5,2014-09-28,2014-10-03
2395,Joy Smith,Standard Class,78.272,2,0.2,5.8704,Home Office,West,Arizona,Appliances                                        ,Office Supplies,7,2015-04-23,2015-04-30
2396,Erin Creighton,Second Class,195.68,4,0.0,50.8768,Consumer,South,Kentucky,Appliances                                        ,Office Supplies,2,2016-09-11,2016-09-13
2397,Harry Marie,Second Class,146.76,3,0.0,38.1576,Corporate,South,Kentucky,Appliances                                        ,Office Supplies,2,2013-03-11,2013-03-13
2398,Rick Wilson,Standard Class,97.84,2,0.0,25.4384,Consumer,East,New Jersey,Appliances                                        ,Office Supplies,6,2016-08-15,2016-08-21
2403,Noel Staavos,Second Class,1158.12,5,0.2,130.2885,Corporate,South,Florida,Appliances                                        ,Office Supplies,5,2016-11-11,2016-11-16
2405,Katherine Nockton,First Class,208.44,3,0.0,62.532,Corporate,South,Kentucky,Appliances                                        ,Office Supplies,3,2016-05-26,2016-05-29
2406,Katherine Nockton,Second Class,69.48,1,0.0,20.844,Corporate,West,California,Appliances                                        ,Office Supplies,4,2016-12-08,2016-12-12
2407,Resi Polking,Second Class,194.528,2,0.2,24.316,Corporate,South,Florida,Appliances                                        ,Office Supplies,2,2015-12-19,2015-12-21
2408,Ben Wallace,Standard Class,364.74,3,0.0,109.422,Home Office,Central,Wisconsin,Appliances                                        ,Office Supplies,5,2015-05-31,2015-06-05
2411,Lela Donovan,Second Class,389.056,4,0.2,48.632,Corporate,South,Florida,Appliances                                        ,Office Supplies,5,2016-11-18,2016-11-23
2412,Lela Donovan,Second Class,243.16,2,0.0,72.948,Consumer,West,California,Appliances                                        ,Office Supplies,5,2016-05-04,2016-05-09
2415,Pauline Webber,Standard Class,105.96,4,0.0,29.6688,Home Office,West,California,Appliances                                        ,Office Supplies,5,2014-08-25,2014-08-30
2416,Pauline Webber,Standard Class,52.98,2,0.0,14.8344,Consumer,West,California,Appliances                                        ,Office Supplies,5,2013-03-31,2013-04-05
2417,Charles Crestani,Standard Class,26.49,1,0.0,7.4172,Corporate,East,New Jersey,Appliances                                        ,Office Supplies,7,2015-12-27,2016-01-03
2418,Tracy Collins,Second Class,79.47,3,0.0,22.2516,Corporate,East,Connecticut,Appliances                                        ,Office Supplies,2,2013-08-05,2013-08-07
2419,Tracy Collins,Standard Class,42.384,2,0.2,4.2384,Home Office,South,Florida,Appliances                                        ,Office Supplies,6,2015-11-25,2015-12-01
2420,Tracy Collins,Same Day,79.47,3,0.0,22.2516,Corporate,West,California,Appliances                                        ,Office Supplies,1,2016-12-02,2016-12-03
2421,Brad Thomas,First Class,203.52,3,0.0,54.9504,Consumer,West,California,Appliances                                        ,Office Supplies,1,2016-08-21,2016-08-22
2422,Thomas Thornton,Standard Class,67.84,1,0.0,18.3168,Home Office,West,California,Appliances                                        ,Office Supplies,4,2015-11-19,2015-11-23
2424,Clytie Kelty,Second Class,325.632,6,0.2,28.4928,Corporate,West,Arizona,Appliances                                        ,Office Supplies,2,2014-11-21,2014-11-23
2425,Clytie Kelty,First Class,73.536,4,0.2,9.192,Corporate,East,Ohio,Appliances                                        ,Office Supplies,3,2015-12-12,2015-12-15
2426,Liz Thompson,First Class,22.98,1,0.0,6.894,Corporate,West,Washington,Appliances                                        ,Office Supplies,2,2013-11-11,2013-11-13
2427,Alan Hwang,Second Class,91.92,5,0.2,11.49,Consumer,East,Ohio,Appliances                                        ,Office Supplies,5,2013-10-05,2013-10-10
2429,Sam Craven,Standard Class,114.9,5,0.0,34.47,Consumer,West,California,Appliances                                        ,Office Supplies,5,2013-06-09,2013-06-14
2430,Sam Craven,Standard Class,68.94,3,0.0,20.682,Home Office,East,New York,Appliances                                        ,Office Supplies,4,2014-07-23,2014-07-27
2431,Erin Creighton,Standard Class,45.96,2,0.0,13.788,Consumer,East,New York,Appliances                                        ,Office Supplies,5,2015-07-18,2015-07-23
2432,Erin Creighton,First Class,2.22,1,0.0,0.666,Corporate,East,Rhode Island,Appliances                                        ,Office Supplies,1,2016-10-23,2016-10-24
2433,Erin Creighton,First Class,3.552,2,0.2,0.444,Consumer,East,Pennsylvania,Appliances                                        ,Office Supplies,1,2014-12-19,2014-12-20
2434,Corey Roper,Standard Class,3.552,2,0.2,0.444,Consumer,East,Pennsylvania,Appliances                                        ,Office Supplies,4,2014-03-01,2014-03-05
2442,Mark Cousins,Standard Class,962.08,4,0.2,156.338,Consumer,South,North Carolina,Appliances                                        ,Office Supplies,5,2014-03-21,2014-03-26
2444,Ed Ludwig,Standard Class,43.32,2,0.0,14.2956,Consumer,West,California,Appliances                                        ,Office Supplies,5,2015-11-04,2015-11-09
2445,Don Miller,Standard Class,151.62,7,0.0,50.0346,Consumer,West,California,Appliances                                        ,Office Supplies,4,2015-07-15,2015-07-19
2446,Dennis Kane,Standard Class,103.968,6,0.2,16.8948,Corporate,East,Ohio,Appliances                                        ,Office Supplies,6,2015-11-19,2015-11-25
2447,Troy Staebel,Standard Class,34.656,2,0.2,5.6316,Consumer,East,Pennsylvania,Appliances                                        ,Office Supplies,5,2013-12-26,2013-12-31
2448,Vivek Grady,Standard Class,168.1,5,0.0,43.706,Corporate,West,California,Appliances                                        ,Office Supplies,7,2016-07-11,2016-07-18
2449,Vivek Grady,Second Class,161.376,6,0.2,12.1032,Consumer,South,Florida,Appliances                                        ,Office Supplies,3,2016-08-23,2016-08-26
2450,Darren Budd,Standard Class,134.48,4,0.0,34.9648,Corporate,West,California,Appliances                                        ,Office Supplies,4,2014-12-13,2014-12-17
2451,Larry Hughes,Standard Class,168.1,5,0.0,43.706,Consumer,West,California,Appliances                                        ,Office Supplies,5,2016-11-02,2016-11-07
2456,Becky Castell,First Class,197.72,4,0.0,55.3616,Consumer,South,Virginia,Appliances                                        ,Office Supplies,3,2014-11-02,2014-11-05
2460,Neil Knudson,Standard Class,59.24,5,0.2,16.291,Consumer,South,Tennessee,Appliances                                        ,Office Supplies,6,2016-12-22,2016-12-28
2461,Neil Knudson,Standard Class,23.696,2,0.2,6.5164,Corporate,South,Florida,Appliances                                        ,Office Supplies,4,2015-07-24,2015-07-28
2462,Richard Eichhorn,Second Class,44.43,3,0.0,18.6606,Consumer,South,Virginia,Appliances                                        ,Office Supplies,5,2014-11-08,2014-11-13
2463,Sally Knutson,Standard Class,23.696,2,0.2,6.5164,Consumer,East,Pennsylvania,Appliances                                        ,Office Supplies,4,2014-05-03,2014-05-07
2464,Janet Lee,First Class,13.97,1,0.0,3.6322,Consumer,West,California,Appliances                                        ,Office Supplies,2,2013-12-24,2013-12-26
2465,Ken Dana,Standard Class,33.528,3,0.2,2.5146,Consumer,East,Pennsylvania,Appliances                                        ,Office Supplies,5,2015-04-08,2015-04-13
2467,Troy Staebel,Standard Class,11.176,1,0.2,0.8382,Corporate,West,Oregon,Appliances                                        ,Office Supplies,6,2016-09-09,2016-09-15
2468,Troy Staebel,Standard Class,41.91,3,0.0,10.8966,Corporate,South,Georgia,Appliances                                        ,Office Supplies,4,2016-07-10,2016-07-14
2469,Kelly Lampkin,Standard Class,36.27,3,0.0,10.881,Consumer,South,Virginia,Appliances                                        ,Office Supplies,6,2014-12-20,2014-12-26
2470,Kelly Lampkin,First Class,36.27,3,0.0,10.881,Corporate,Central,Nebraska,Appliances                                        ,Office Supplies,1,2013-09-21,2013-09-22
2471,Jasper Cacioppo,Second Class,24.18,2,0.0,7.254,Consumer,Central,Missouri,Appliances                                        ,Office Supplies,5,2016-09-10,2016-09-15
2472,Doug Jacobs,Second Class,48.36,5,0.2,6.045,Consumer,East,Ohio,Appliances                                        ,Office Supplies,2,2013-12-29,2013-12-31
2474,Duane Benoit,Standard Class,203.88,5,0.2,20.388,Corporate,West,Oregon,Appliances                                        ,Office Supplies,6,2014-10-26,2014-11-01
2475,Duane Benoit,Standard Class,152.91,3,0.0,42.8148,Consumer,West,California,Appliances                                        ,Office Supplies,4,2013-08-15,2013-08-19
2477,Anthony Garverick,Standard Class,356.79,7,0.0,99.9012,Consumer,West,California,Appliances                                        ,Office Supplies,4,2016-02-27,2016-03-02
2478,Benjamin Venier,Standard Class,122.328,3,0.2,12.2328,Consumer,West,Colorado,Appliances                                        ,Office Supplies,6,2015-08-16,2015-08-22
2479,Valerie Mitchum,Standard Class,81.552,2,0.2,8.1552,Consumer,East,Pennsylvania,Appliances                                        ,Office Supplies,5,2013-12-26,2013-12-31
2480,Valerie Mitchum,Second Class,871.8,3,0.2,87.18,Consumer,South,Tennessee,Appliances                                        ,Office Supplies,2,2015-03-19,2015-03-21
2484,Lisa DeCherney,Standard Class,5.2,2,0.2,0.585,Consumer,South,Florida,Appliances                                        ,Office Supplies,7,2016-06-03,2016-06-10
2485,Lisa DeCherney,Standard Class,18.2,7,0.2,2.0475,Consumer,East,Pennsylvania,Appliances                                        ,Office Supplies,4,2014-05-03,2014-05-07
2486,Henry MacAllister,Standard Class,22.75,7,0.0,6.5975,Consumer,East,New Jersey,Appliances                                        ,Office Supplies,6,2016-12-11,2016-12-17
2487,Becky Castell,First Class,2.6,1,0.2,0.2925,Consumer,West,Colorado,Appliances                                        ,Office Supplies,2,2013-08-03,2013-08-05
2489,Dorothy Wardle,Standard Class,414.96,2,0.0,124.488,Home Office,East,New York,Appliances                                        ,Office Supplies,4,2014-12-25,2014-12-29
2490,Dorothy Wardle,First Class,207.48,1,0.0,62.244,Home Office,East,New York,Appliances                                        ,Office Supplies,2,2015-09-09,2015-09-11
2491,Dorothy Wardle,First Class,186.732,1,0.1,41.496,Home Office,Central,Michigan,Appliances                                        ,Office Supplies,3,2014-04-28,2014-05-01
2492,Lauren Leatherbury,First Class,167.292,6,0.1,29.7408,Corporate,Central,Michigan,Appliances                                        ,Office Supplies,3,2015-11-28,2015-12-01
2493,Lauren Leatherbury,First Class,30.98,1,0.0,8.0548,Consumer,East,New York,Appliances                                        ,Office Supplies,3,2013-09-20,2013-09-23
2494,Bruce Degenhardt,Standard Class,123.92,5,0.2,9.294,Consumer,East,Ohio,Appliances                                        ,Office Supplies,5,2015-05-31,2015-06-05
2495,Bruce Degenhardt,Standard Class,61.96,2,0.0,16.1096,Corporate,East,Massachusetts,Appliances                                        ,Office Supplies,4,2014-09-10,2014-09-14
2496,Naresj Patel,Standard Class,154.9,5,0.0,40.274,Consumer,South,Georgia,Appliances                                        ,Office Supplies,6,2013-04-02,2013-04-08
2497,Naresj Patel,Second Class,154.9,5,0.0,40.274,Corporate,West,California,Appliances                                        ,Office Supplies,3,2015-03-13,2015-03-16
2502,Anna Haberlin,Standard Class,286.256,1,0.2,17.891,Consumer,East,Ohio,Appliances                                        ,Office Supplies,4,2015-09-26,2015-09-30
2504,Roy Collins,First Class,88.832,4,0.2,7.7728,Consumer,East,Pennsylvania,Appliances                                        ,Office Supplies,1,2014-12-19,2014-12-20
2505,Roy Collins,Standard Class,111.04,4,0.0,29.9808,Home Office,East,New Jersey,Appliances                                        ,Office Supplies,7,2014-09-11,2014-09-18
2506,Greg Guthrie,Standard Class,44.416,2,0.2,3.8864,Consumer,East,Pennsylvania,Appliances                                        ,Office Supplies,4,2013-06-21,2013-06-25
2507,Greg Guthrie,Second Class,180.66,3,0.0,50.5848,Consumer,South,Kentucky,Appliances                                        ,Office Supplies,5,2016-06-16,2016-06-21
2508,Guy Phonely,Second Class,13.0,5,0.2,1.3,Consumer,South,Florida,Appliances                                        ,Office Supplies,4,2013-09-14,2013-09-18
2509,Eugene Moren,Second Class,29.403,3,0.1,5.2272,Corporate,Central,Michigan,Appliances                                        ,Office Supplies,3,2014-10-09,2014-10-12
2510,Denny Blanton,Standard Class,43.56,5,0.2,3.267,Home Office,West,Colorado,Appliances                                        ,Office Supplies,5,2014-04-27,2014-05-02
2512,Chris Selesnick,Standard Class,32.67,3,0.0,8.4942,Corporate,South,Mississippi,Appliances                                        ,Office Supplies,4,2013-03-17,2013-03-21
2513,Rob Haberlin,Standard Class,60.984,7,0.2,4.5738,Corporate,West,Colorado,Appliances                                        ,Office Supplies,4,2014-12-21,2014-12-25
2515,Helen Andreada,Standard Class,10.89,1,0.0,2.8314,Consumer,West,California,Appliances                                        ,Office Supplies,5,2016-11-11,2016-11-16
2516,Stephanie Phelps,Standard Class,32.67,3,0.0,8.4942,Consumer,East,New York,Appliances                                        ,Office Supplies,5,2016-02-05,2016-02-10
2517,Stephanie Phelps,First Class,21.78,2,0.0,5.6628,Consumer,West,California,Appliances                                        ,Office Supplies,1,2015-06-21,2015-06-22
2519,Dennis Pardue,Standard Class,35.04,2,0.0,12.264,Consumer,South,Virginia,Appliances                                        ,Office Supplies,6,2016-11-17,2016-11-23
2520,Ann Chong,Standard Class,52.56,3,0.0,18.396,Consumer,East,New York,Appliances                                        ,Office Supplies,5,2015-06-13,2015-06-18
2521,Ann Chong,Standard Class,98.112,7,0.2,18.396,Home Office,East,Pennsylvania,Appliances                                        ,Office Supplies,5,2014-04-05,2014-04-10
2522,Ann Chong,Second Class,19.75,5,0.0,5.135,Consumer,Central,Indiana,Appliances                                        ,Office Supplies,2,2014-11-21,2014-11-23
2523,Giulietta Dortch,Standard Class,15.8,4,0.0,4.108,Corporate,West,California,Appliances                                        ,Office Supplies,5,2016-10-05,2016-10-10
2524,Jack O'Briant,First Class,9.48,3,0.2,0.711,Consumer,East,Pennsylvania,Appliances                                        ,Office Supplies,1,2015-07-29,2015-07-30
2525,Jack O'Briant,Standard Class,7.9,2,0.0,2.054,Corporate,West,California,Appliances                                        ,Office Supplies,5,2015-12-27,2016-01-01
2528,Alyssa Crouse,Standard Class,122.94,3,0.0,30.735,Consumer,East,New York,Appliances                                        ,Office Supplies,5,2013-12-30,2014-01-04
2530,Rick Wilson,Standard Class,207.144,3,0.1,48.3336,Corporate,Central,Michigan,Appliances                                        ,Office Supplies,5,2015-03-09,2015-03-14
2532,Tracy Poddar,Standard Class,35.91,3,0.0,9.6957,Corporate,East,New York,Appliances                                        ,Office Supplies,7,2013-05-11,2013-05-18
2533,Nick Crebassa,Standard Class,76.608,8,0.2,6.7032,Corporate,South,Tennessee,Appliances                                        ,Office Supplies,5,2016-06-15,2016-06-20
2534,Theresa Swint,Standard Class,35.91,3,0.0,9.6957,Consumer,East,New York,Appliances                                        ,Office Supplies,5,2016-12-24,2016-12-29
2537,Deanra Eno,First Class,170.88,3,0.0,49.5552,Consumer,East,New York,Appliances                                        ,Office Supplies,3,2015-02-27,2015-03-02
2538,George Ashbrook,Standard Class,227.84,4,0.0,66.0736,Home Office,West,Idaho,Appliances                                        ,Office Supplies,5,2016-10-06,2016-10-11
2539,George Ashbrook,Second Class,113.92,2,0.0,33.0368,Consumer,East,Massachusetts,Appliances                                        ,Office Supplies,2,2014-08-08,2014-08-10
2542,Art Ferguson,Standard Class,406.6,5,0.0,113.848,Consumer,East,New York,Appliances                                        ,Office Supplies,4,2014-04-11,2014-04-15
2543,Art Ferguson,Standard Class,130.112,2,0.2,13.0112,Consumer,East,Ohio,Appliances                                        ,Office Supplies,5,2016-12-18,2016-12-23
2544,Brian Derr,Standard Class,162.64,2,0.0,45.5392,Corporate,East,New Jersey,Appliances                                        ,Office Supplies,4,2015-07-18,2015-07-22
2546,Brian Derr,Standard Class,487.92,6,0.0,136.6176,Home Office,West,California,Appliances                                        ,Office Supplies,7,2015-08-09,2015-08-16
2547,Brian Derr,First Class,61.44,3,0.0,16.5888,Consumer,West,California,Appliances                                        ,Office Supplies,3,2016-06-11,2016-06-14
2548,Laura Armstrong,Standard Class,61.44,3,0.0,16.5888,Corporate,East,New York,Appliances                                        ,Office Supplies,4,2015-10-03,2015-10-07
2549,Deanra Eno,Second Class,61.44,3,0.0,16.5888,Corporate,West,California,Appliances                                        ,Office Supplies,4,2014-09-22,2014-09-26
2550,Deanra Eno,First Class,81.92,4,0.0,22.1184,Consumer,East,New Jersey,Appliances                                        ,Office Supplies,3,2013-09-10,2013-09-13
2551,Justin Knight,Second Class,81.92,4,0.0,22.1184,Home Office,West,California,Appliances                                        ,Office Supplies,2,2016-02-27,2016-02-29
2552,Justin Knight,First Class,61.44,3,0.0,16.5888,Consumer,Central,Indiana,Appliances                                        ,Office Supplies,3,2016-12-05,2016-12-08
2553,Justin Knight,Standard Class,320.64,4,0.0,89.7792,Consumer,South,Mississippi,Appliances                                        ,Office Supplies,5,2016-12-07,2016-12-12
2554,Larry Tron,Standard Class,400.8,5,0.0,112.224,Consumer,West,Washington,Appliances                                        ,Office Supplies,7,2016-11-10,2016-11-17
2555,Larry Tron,First Class,160.32,2,0.0,44.8896,Consumer,East,New York,Appliances                                        ,Office Supplies,2,2014-05-30,2014-06-01
2556,Toby Swindell,Standard Class,160.32,2,0.0,44.8896,Home Office,South,Virginia,Appliances                                        ,Office Supplies,5,2015-03-14,2015-03-19
2557,Toby Swindell,First Class,45.28,4,0.0,15.3952,Consumer,West,California,Appliances                                        ,Office Supplies,2,2014-11-28,2014-11-30
2560,Sarah Brown,Standard Class,213.136,7,0.2,23.9778,Corporate,East,Ohio,Appliances                                        ,Office Supplies,4,2016-11-26,2016-11-30
2561,Jas O'Carroll,First Class,121.792,4,0.2,13.7016,Consumer,East,Ohio,Appliances                                        ,Office Supplies,1,2013-10-21,2013-10-22
2562,Jas O'Carroll,Standard Class,76.12,2,0.0,22.0748,Consumer,West,California,Appliances                                        ,Office Supplies,7,2013-08-08,2013-08-15
2563,Grant Thornton,Second Class,76.12,2,0.0,22.0748,Consumer,West,Washington,Appliances                                        ,Office Supplies,4,2016-11-12,2016-11-16
2564,Grant Thornton,First Class,152.24,5,0.2,17.127,Consumer,South,Florida,Appliances                                        ,Office Supplies,2,2013-08-15,2013-08-17
2565,Jeremy Ellison,Standard Class,121.792,4,0.2,13.7016,Consumer,West,Arizona,Appliances                                        ,Office Supplies,7,2014-05-23,2014-05-30
2566,Jasper Cacioppo,Standard Class,76.12,2,0.0,22.0748,Corporate,East,New Jersey,Appliances                                        ,Office Supplies,4,2013-11-01,2013-11-05
2568,Larry Hughes,Standard Class,90.64,8,0.0,38.9752,Consumer,Central,Minnesota,Appliances                                        ,Office Supplies,4,2016-02-14,2016-02-18
2570,Tracy Poddar,Second Class,33.99,3,0.0,14.6157,Consumer,Central,Missouri,Appliances                                        ,Office Supplies,5,2016-09-10,2016-09-15
2571,Joni Blumstein,Standard Class,56.65,5,0.0,24.3595,Home Office,West,California,Appliances                                        ,Office Supplies,6,2013-09-08,2013-09-14
2572,Noel Staavos,First Class,58.24,4,0.0,15.7248,Consumer,West,California,Appliances                                        ,Office Supplies,2,2015-06-06,2015-06-08
2573,Nora Pelletier,First Class,43.68,3,0.0,11.7936,Consumer,West,California,Appliances                                        ,Office Supplies,3,2013-11-28,2013-12-01
2574,Tamara Manning,Second Class,58.24,5,0.2,5.096,Corporate,South,North Carolina,Appliances                                        ,Office Supplies,4,2013-11-04,2013-11-08
2575,Tamara Manning,Standard Class,65.52,5,0.1,12.376,Corporate,Central,Michigan,Appliances                                        ,Office Supplies,5,2013-06-01,2013-06-06
2577,Art Foster,Standard Class,72.8,5,0.0,19.656,Consumer,South,Kentucky,Appliances                                        ,Office Supplies,5,2016-03-03,2016-03-08
2578,Adam Bellavance,First Class,34.944,3,0.2,3.0576,Consumer,South,North Carolina,Appliances                                        ,Office Supplies,3,2015-12-17,2015-12-20
2579,Adam Bellavance,Standard Class,87.36,6,0.0,23.5872,Home Office,West,California,Appliances                                        ,Office Supplies,5,2014-01-05,2014-01-10
2580,Andy Gerbode,Standard Class,43.512,7,0.2,3.8073,Consumer,South,Tennessee,Appliances                                        ,Office Supplies,5,2013-12-20,2013-12-25
2581,Fred Harton,Standard Class,7.77,1,0.0,2.0979,Corporate,West,California,Appliances                                        ,Office Supplies,6,2016-05-12,2016-05-18
2582,Fred Harton,Standard Class,31.08,4,0.0,8.3916,Corporate,West,Nevada,Appliances                                        ,Office Supplies,7,2014-11-19,2014-11-26
2584,Erin Creighton,Standard Class,75.84,2,0.0,29.5776,Corporate,West,California,Appliances                                        ,Office Supplies,6,2014-04-13,2014-04-19
2586,Emily Grady,Standard Class,113.76,3,0.0,44.3664,Consumer,West,California,Appliances                                        ,Office Supplies,7,2015-04-11,2015-04-18
2587,Emily Grady,Standard Class,60.672,2,0.2,14.4096,Corporate,West,Arizona,Appliances                                        ,Office Supplies,4,2014-09-26,2014-09-30
2588,Emily Grady,Standard Class,12.72,3,0.0,4.9608,Home Office,South,Georgia,Appliances                                        ,Office Supplies,4,2016-09-24,2016-09-28
2589,Steven Roelle,Second Class,33.92,8,0.0,13.2288,Home Office,East,District of Columbia,Appliances                                        ,Office Supplies,5,2015-12-06,2015-12-11
2590,Steven Roelle,Second Class,3.392,1,0.2,0.8056,Consumer,West,Colorado,Appliances                                        ,Office Supplies,3,2013-11-11,2013-11-14
2591,Jonathan Howell,Standard Class,29.68,7,0.0,11.5752,Corporate,Central,Missouri,Appliances                                        ,Office Supplies,4,2013-12-31,2014-01-04
2592,Erin Creighton,Standard Class,25.44,6,0.0,9.9216,Consumer,West,California,Appliances                                        ,Office Supplies,5,2013-03-25,2013-03-30
2593,Erin Creighton,Standard Class,13.568,4,0.2,3.2224,Corporate,Central,Illinois,Appliances                                        ,Office Supplies,5,2015-04-11,2015-04-16
2594,Roland Black,Standard Class,11.16,2,0.0,2.79,Consumer,East,Delaware,Appliances                                        ,Office Supplies,6,2015-06-06,2015-06-12
2595,Roland Black,Second Class,17.856,4,0.2,1.116,Corporate,East,Pennsylvania,Appliances                                        ,Office Supplies,4,2013-04-13,2013-04-17
2596,Matthew Clasen,Second Class,11.16,2,0.0,2.79,Home Office,West,California,Appliances                                        ,Office Supplies,4,2016-12-09,2016-12-13
2597,Matthew Clasen,Standard Class,35.712,8,0.2,2.232,Consumer,Central,Texas,Appliances                                        ,Office Supplies,4,2016-11-22,2016-11-26
2598,Matthew Clasen,First Class,8.928,2,0.2,0.558,Consumer,Central,Texas,Appliances                                        ,Office Supplies,2,2016-09-18,2016-09-20
2599,Liz Pelletier,Second Class,5.58,1,0.0,1.395,Home Office,West,California,Appliances                                        ,Office Supplies,2,2016-05-19,2016-05-21
2600,Joy Smith,Second Class,27.9,5,0.0,6.975,Consumer,South,Virginia,Appliances                                        ,Office Supplies,5,2014-11-08,2014-11-13
2601,Craig Rider,Second Class,16.4,5,0.0,4.756,Corporate,Central,Michigan,Appliances                                        ,Office Supplies,3,2014-09-27,2014-09-30
2602,Nicole Brennan,Second Class,22.96,7,0.0,6.6584,Corporate,South,Virginia,Appliances                                        ,Office Supplies,4,2013-04-05,2013-04-09
2603,Jeremy Lonsdale,Standard Class,5.248,2,0.2,0.5904,Consumer,West,Oregon,Appliances                                        ,Office Supplies,4,2014-05-08,2014-05-12
2604,Dan Campbell,Standard Class,20.992,8,0.2,2.3616,Consumer,South,North Carolina,Appliances                                        ,Office Supplies,5,2016-04-11,2016-04-16
2605,Cynthia Arntzen,First Class,23.968,7,0.2,2.6964,Consumer,South,North Carolina,Appliances                                        ,Office Supplies,1,2016-11-20,2016-11-21
2606,Deanra Eno,First Class,17.12,4,0.0,4.9648,Consumer,West,California,Appliances                                        ,Office Supplies,1,2016-08-21,2016-08-22
2607,Deanra Eno,Standard Class,10.272,3,0.2,1.1556,Consumer,West,Arizona,Appliances                                        ,Office Supplies,6,2014-08-17,2014-08-23
2608,Deanra Eno,Standard Class,17.12,4,0.0,4.9648,Home Office,Central,Wisconsin,Appliances                                        ,Office Supplies,5,2014-12-22,2014-12-27
2609,Thea Hudgings,Standard Class,8.896,4,0.2,0.6672,Consumer,West,Arizona,Appliances                                        ,Office Supplies,4,2016-04-25,2016-04-29
2610,Theresa Swint,Standard Class,19.46,7,0.0,5.0596,Corporate,Central,Nebraska,Appliances                                        ,Office Supplies,4,2015-12-10,2015-12-14
2611,Gary Hwang,Standard Class,5.56,2,0.0,1.4456,Consumer,South,Virginia,Appliances                                        ,Office Supplies,4,2016-11-02,2016-11-06
2612,Ed Jacobs,Second Class,16.68,6,0.0,4.3368,Consumer,West,California,Appliances                                        ,Office Supplies,2,2016-08-14,2016-08-16
2613,Nora Pelletier,First Class,11.12,4,0.0,2.8912,Home Office,East,Connecticut,Appliances                                        ,Office Supplies,3,2016-04-02,2016-04-05
2614,Nora Pelletier,First Class,40.88,7,0.0,10.6288,Home Office,Central,Indiana,Appliances                                        ,Office Supplies,1,2015-09-30,2015-10-01
2615,Clay Rozendal,Standard Class,23.36,4,0.0,6.0736,Home Office,West,California,Appliances                                        ,Office Supplies,5,2016-11-16,2016-11-21
2616,Steve Nguyen,First Class,11.68,2,0.0,3.0368,Consumer,West,California,Appliances                                        ,Office Supplies,1,2016-06-29,2016-06-30
2617,Quincy Jones,Standard Class,4.912,2,0.2,0.307,Corporate,East,Ohio,Appliances                                        ,Office Supplies,4,2015-09-24,2015-09-28
2618,Rob Williams,Standard Class,9.21,3,0.0,2.3025,Consumer,West,Washington,Appliances                                        ,Office Supplies,4,2016-11-12,2016-11-16
2619,John Lee,First Class,9.21,3,0.0,2.3025,Corporate,East,New Jersey,Appliances                                        ,Office Supplies,2,2015-01-25,2015-01-27
2620,Kelly Andreada,Second Class,2.78,2,0.0,0.7228,Consumer,East,New York,Appliances                                        ,Office Supplies,2,2014-10-31,2014-11-02
2621,Barry Gonzalez,Standard Class,6.672,6,0.2,0.5004,Corporate,Central,Texas,Appliances                                        ,Office Supplies,7,2016-10-01,2016-10-08
2622,Astrea Jones,Standard Class,4.17,3,0.0,1.0842,Corporate,West,New Mexico,Appliances                                        ,Office Supplies,4,2016-12-22,2016-12-26
2623,Astrea Jones,First Class,60.768,2,0.2,7.596,Corporate,South,Florida,Appliances                                        ,Office Supplies,1,2014-06-11,2014-06-12
2624,Grant Carroll,Standard Class,151.92,4,0.0,45.576,Corporate,Central,Michigan,Appliances                                        ,Office Supplies,5,2013-11-24,2013-11-29
2625,Adam Hart,Standard Class,75.96,2,0.0,22.788,Consumer,Central,Iowa,Appliances                                        ,Office Supplies,7,2015-11-04,2015-11-11
2626,Grant Thornton,Second Class,265.86,7,0.0,79.758,Consumer,South,Virginia,Appliances                                        ,Office Supplies,5,2014-11-08,2014-11-13
2627,Grant Thornton,Standard Class,303.84,8,0.0,91.152,Consumer,West,Washington,Appliances                                        ,Office Supplies,6,2013-09-08,2013-09-14
